x, y
2004-01-04,75
2004-01-11,66
2004-01-18,67
2004-01-25,57
2004-02-01,54
2004-02-08,56
2004-02-15,53
2004-02-22,50
2004-02-29,53
2004-03-07,49
2004-03-14,51
2004-03-21,53
2004-03-28,54
2004-04-04,54
2004-04-11,49
2004-04-18,54
2004-04-25,55
2004-05-02,57
2004-05-09,56
2004-05-16,57
2004-05-23,61
2004-05-30,68
2004-06-06,67
2004-06-13,75
2004-06-20,80
2004-06-27,88
2004-07-04,95
2004-07-11,100
2004-07-18,94
2004-07-25,90
2004-08-01,81
2004-08-08,78
2004-08-15,73
2004-08-22,66
2004-08-29,53
2004-09-05,51
2004-09-12,45
2004-09-19,45
2004-09-26,40
2004-10-03,42
2004-10-10,40
2004-10-17,37
2004-10-24,36
2004-10-31,36
2004-11-07,40
2004-11-14,39
2004-11-21,39
2004-11-28,33
2004-12-05,34
2004-12-12,39
2004-12-19,41
2004-12-26,57
2005-01-02,72
2005-01-09,73
2005-01-16,76
2005-01-23,66
2005-01-30,57
2005-02-06,60
2005-02-13,64
2005-02-20,61
2005-02-27,60
2005-03-06,63
2005-03-13,63
2005-03-20,59
2005-03-27,59
2005-04-03,60
2005-04-10,58
2005-04-17,58
2005-04-24,57
2005-05-01,61
2005-05-08,67
2005-05-15,68
2005-05-22,66
2005-05-29,78
2005-06-05,77
2005-06-12,76
2005-06-19,83
2005-06-26,86
2005-07-03,99
2005-07-10,99
2005-07-17,100
2005-07-24,95
2005-07-31,91
2005-08-07,81
2005-08-14,72
2005-08-21,65
2005-08-28,55
2005-09-04,49
2005-09-11,50
2005-09-18,44
2005-09-25,45
2005-10-02,39
2005-10-09,40
2005-10-16,38
2005-10-23,37
2005-10-30,37
2005-11-06,36
2005-11-13,37
2005-11-20,35
2005-11-27,32
2005-12-04,35
2005-12-11,38
2005-12-18,39
2005-12-25,51
2006-01-01,75
2006-01-08,78
2006-01-15,77
2006-01-22,70
2006-01-29,67
2006-02-05,62
2006-02-12,57
2006-02-19,54
2006-02-26,56
2006-03-05,58
2006-03-12,60
2006-03-19,59
2006-03-26,55
2006-04-02,53
2006-04-09,54
2006-04-16,56
2006-04-23,54
2006-04-30,54
2006-05-07,56
2006-05-14,65
2006-05-21,66
2006-05-28,70
2006-06-04,62
2006-06-11,63
2006-06-18,75
2006-06-25,81
2006-07-02,91
2006-07-09,99
2006-07-16,100
2006-07-23,88
2006-07-30,84
2006-08-06,80
2006-08-13,70
2006-08-20,63
2006-08-27,56
2006-09-03,49
2006-09-10,47
2006-09-17,46
2006-09-24,44
2006-10-01,40
2006-10-08,39
2006-10-15,39
2006-10-22,40
2006-10-29,40
2006-11-05,39
2006-11-12,42
2006-11-19,41
2006-11-26,37
2006-12-03,37
2006-12-10,36
2006-12-17,37
2006-12-24,49
2006-12-31,68
2007-01-07,87
2007-01-14,80
2007-01-21,72
2007-01-28,66
2007-02-04,63
2007-02-11,67
2007-02-18,64
2007-02-25,64
2007-03-04,66
2007-03-11,64
2007-03-18,62
2007-03-25,59
2007-04-01,55
2007-04-08,55
2007-04-15,58
2007-04-22,58
2007-04-29,62
2007-05-06,64
2007-05-13,63
2007-05-20,67
2007-05-27,76
2007-06-03,77
2007-06-10,82
2007-06-17,92
2007-06-24,93
2007-07-01,96
2007-07-08,99
2007-07-15,100
2007-07-22,100
2007-07-29,94
2007-08-05,84
2007-08-12,81
2007-08-19,73
2007-08-26,66
2007-09-02,60
2007-09-09,53
2007-09-16,52
2007-09-23,50
2007-09-30,46
2007-10-07,46
2007-10-14,47
2007-10-21,44
2007-10-28,47
2007-11-04,46
2007-11-11,46
2007-11-18,51
2007-11-25,45
2007-12-02,44
2007-12-09,44
2007-12-16,44
2007-12-23,53
2007-12-30,74
2008-01-06,78
2008-01-13,78
2008-01-20,74
2008-01-27,68
2008-02-03,66
2008-02-10,62
2008-02-17,63
2008-02-24,59
2008-03-02,57
2008-03-09,59
2008-03-16,58
2008-03-23,57
2008-03-30,54
2008-04-06,54
2008-04-13,57
2008-04-20,56
2008-04-27,54
2008-05-04,56
2008-05-11,62
2008-05-18,63
2008-05-25,62
2008-06-01,66
2008-06-08,69
2008-06-15,74
2008-06-22,84
2008-06-29,93
2008-07-06,100
2008-07-13,95
2008-07-20,88
2008-07-27,84
2008-08-03,83
2008-08-10,76
2008-08-17,67
2008-08-24,60
2008-08-31,56
2008-09-07,50
2008-09-14,47
2008-09-21,44
2008-09-28,43
2008-10-05,40
2008-10-12,42
2008-10-19,42
2008-10-26,45
2008-11-02,45
2008-11-09,46
2008-11-16,45
2008-11-23,41
2008-11-30,40
2008-12-07,43
2008-12-14,42
2008-12-21,48
2008-12-28,60
2009-01-04,60
2009-01-11,62
2009-01-18,63
2009-01-25,60
2009-02-01,56
2009-02-08,53
2009-02-15,51
2009-02-22,50
2009-03-01,48
2009-03-08,52
2009-03-15,50
2009-03-22,51
2009-03-29,47
2009-04-05,45
2009-04-12,49
2009-04-19,49
2009-04-26,47
2009-05-03,53
2009-05-10,57
2009-05-17,59
2009-05-24,68
2009-05-31,69
2009-06-07,73
2009-06-14,78
2009-06-21,82
2009-06-28,85
2009-07-05,99
2009-07-12,99
2009-07-19,100
2009-07-26,88
2009-08-02,85
2009-08-09,79
2009-08-16,69
2009-08-23,63
2009-08-30,57
2009-09-06,53
2009-09-13,48
2009-09-20,46
2009-09-27,43
2009-10-04,44
2009-10-11,41
2009-10-18,39
2009-10-25,39
2009-11-01,40
2009-11-08,40
2009-11-15,42
2009-11-22,39
2009-11-29,35
2009-12-06,36
2009-12-13,35
2009-12-20,39
2009-12-27,59
2010-01-03,70
2010-01-10,68
2010-01-17,74
2010-01-24,69
2010-01-31,65
2010-02-07,65
2010-02-14,65
2010-02-21,65
2010-02-28,62
2010-03-07,65
2010-03-14,61
2010-03-21,59
2010-03-28,57
2010-04-04,56
2010-04-11,58
2010-04-18,51
2010-04-25,57
2010-05-02,65
2010-05-09,62
2010-05-16,65
2010-05-23,69
2010-05-30,70
2010-06-06,72
2010-06-13,76
2010-06-20,80
2010-06-27,81
2010-07-04,89
2010-07-11,99
2010-07-18,100
2010-07-25,92
2010-08-01,93
2010-08-08,85
2010-08-15,79
2010-08-22,73
2010-08-29,63
2010-09-05,57
2010-09-12,53
2010-09-19,50
2010-09-26,48
2010-10-03,47
2010-10-10,46
2010-10-17,44
2010-10-24,42
2010-10-31,43
2010-11-07,42
2010-11-14,42
2010-11-21,38
2010-11-28,33
2010-12-05,35
2010-12-12,37
2010-12-19,37
2010-12-26,57
2011-01-02,86
2011-01-09,84
2011-01-16,79
2011-01-23,75
2011-01-30,74
2011-02-06,74
2011-02-13,68
2011-02-20,63
2011-02-27,56
2011-03-06,57
2011-03-13,54
2011-03-20,55
2011-03-27,53
2011-04-03,53
2011-04-10,57
2011-04-17,52
2011-04-24,55
2011-05-01,55
2011-05-08,62
2011-05-15,65
2011-05-22,73
2011-05-29,74
2011-06-05,80
2011-06-12,85
2011-06-19,89
2011-06-26,90
2011-07-03,96
2011-07-10,99
2011-07-17,100
2011-07-24,96
2011-07-31,92
2011-08-07,88
2011-08-14,77
2011-08-21,72
2011-08-28,63
2011-09-04,61
2011-09-11,55
2011-09-18,51
2011-09-25,48
2011-10-02,48
2011-10-09,47
2011-10-16,44
2011-10-23,44
2011-10-30,45
2011-11-06,42
2011-11-13,41
2011-11-20,38
2011-11-27,37
2011-12-04,38
2011-12-11,41
2011-12-18,41
2011-12-25,60
2012-01-01,82
2012-01-08,80
2012-01-15,73
2012-01-22,71
2012-01-29,62
2012-02-05,59
2012-02-12,56
2012-02-19,60
2012-02-26,59
2012-03-04,59
2012-03-11,56
2012-03-18,58
2012-03-25,56
2012-04-01,56
2012-04-08,57
2012-04-15,56
2012-04-22,53
2012-04-29,54
2012-05-06,59
2012-05-13,57
2012-05-20,63
2012-05-27,70
2012-06-03,71
2012-06-10,72
2012-06-17,76
2012-06-24,85
2012-07-01,93
2012-07-08,100
2012-07-15,98
2012-07-22,88
2012-07-29,86
2012-08-05,81
2012-08-12,75
2012-08-19,71
2012-08-26,65
2012-09-02,57
2012-09-09,54
2012-09-16,51
2012-09-23,47
2012-09-30,46
2012-10-07,43
2012-10-14,43
2012-10-21,44
2012-10-28,43
2012-11-04,41
2012-11-11,41
2012-11-18,41
2012-11-25,37
2012-12-02,36
2012-12-09,36
2012-12-16,40
2012-12-23,52
2012-12-30,73
2013-01-06,88
2013-01-13,80
2013-01-20,77
2013-01-27,73
2013-02-03,67
2013-02-10,67
2013-02-17,67
2013-02-24,64
2013-03-03,62
2013-03-10,65
2013-03-17,65
2013-03-24,65
2013-03-31,63
2013-04-07,57
2013-04-14,54
2013-04-21,57
2013-04-28,60
2013-05-05,59
2013-05-12,64
2013-05-19,73
2013-05-26,76
2013-06-02,71
2013-06-09,80
2013-06-16,84
2013-06-23,96
2013-06-30,96
2013-07-07,95
2013-07-14,100
2013-07-21,96
2013-07-28,94
2013-08-04,92
2013-08-11,90
2013-08-18,82
2013-08-25,72
2013-09-01,64
2013-09-08,60
2013-09-15,54
2013-09-22,51
2013-09-29,49
2013-10-06,50
2013-10-13,50
2013-10-20,49
2013-10-27,50
2013-11-03,49
2013-11-10,47
2013-11-17,47
2013-11-24,43
2013-12-01,43
2013-12-08,45
2013-12-15,47
2013-12-22,61
2013-12-29,88
2014-01-05,88
2014-01-12,82
2014-01-19,75
2014-01-26,68
2014-02-02,66
2014-02-09,60
2014-02-16,60
2014-02-23,55
2014-03-02,53
2014-03-09,52
2014-03-16,55
2014-03-23,51
2014-03-30,49
2014-04-06,53
2014-04-13,54
2014-04-20,54
2014-04-27,53
2014-05-04,54
2014-05-11,56
2014-05-18,59
2014-05-25,63
2014-06-01,66
2014-06-08,68
2014-06-15,70
2014-06-22,77
2014-06-29,82
2014-07-06,89
2014-07-13,89
2014-07-20,100
2014-07-27,98
2014-08-03,94
2014-08-10,87
2014-08-17,81
2014-08-24,71
2014-08-31,63
2014-09-07,61
2014-09-14,56
2014-09-21,53
2014-09-28,49
2014-10-05,50
2014-10-12,51
2014-10-19,48
2014-10-26,46
2014-11-02,45
2014-11-09,44
2014-11-16,46
2014-11-23,41
2014-11-30,38
2014-12-07,43
2014-12-14,47
2014-12-21,53
2014-12-28,71
2015-01-04,85
2015-01-11,86
2015-01-18,78
2015-01-25,73
2015-02-01,65
2015-02-08,61
2015-02-15,65
2015-02-22,65
2015-03-01,63
2015-03-08,60
2015-03-15,60
2015-03-22,57
2015-03-29,57
2015-04-05,56
2015-04-12,52
2015-04-19,56
2015-04-26,58
2015-05-03,59
2015-05-10,61
2015-05-17,68
2015-05-24,72
2015-05-31,69
2015-06-07,76
2015-06-14,80
